Month,Sales
2016/1/1,29554
2016/2/1,31257
2016/3/1,33885
2016/4/1,34921
2016/5/1,35267
2016/6/1,36994
2016/7/1,38573
2016/8/1,35763
2016/9/1,36648
2016/10/1,37995
2016/11/1,36583
2016/12/1,34662
2017/1/1,23689
2017/2/1,25693
2017/3/1,27569
2017/4/1,27455
2017/5/1,28805
2017/6/1,30478
2017/7/1,31598
2017/8/1,29742
2017/9/1,29840
2017/10/1,30855
2017/11/1,27966
2017/12/1,25357
2018/1/1,28571
2018/2/1,29952
2018/3/1,34640
2018/4/1,35678
2018/5/1,37856
2018/6/1,37953
2018/7/1,35144
2018/8/1,28536
2018/9/1,27715
2018/10/1,28492
2018/11/1,25983
2018/12/1,24668
2019/1/1,35078
2019/2/1,30809
2019/3/1,32627
2019/4/1,33205
2019/5/1,36350
2019/6/1,36974
2019/7/1,36113
2019/8/1,29312
2019/9/1,23968
2019/10/1,27725
2019/11/1,23010
2019/12/1,21772
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
